mode,sieve,io_size,threads,run,time_ms
client,1,512,1,1,482.156
client,1,512,1,2,432.294
client,1,512,1,3,420.625
client,1,512,8,1,3712.89
client,1,512,8,2,2817.44
client,1,512,8,3,2886.84
client,1,4096,1,1,575.045
client,1,4096,1,2,592.57
client,1,4096,1,3,581.739
client,1,4096,8,1,1186.44
client,1,4096,8,2,1146.34
client,1,4096,8,3,994.052
client,0,512,1,1,4787.24
client,0,512,1,2,3901.13
client,0,512,1,3,4299.69
client,0,512,8,1,15864
client,0,512,8,2,15086.4
client,0,512,8,3,17058.3
client,0,4096,1,1,1808.44
client,0,4096,1,2,1947.92
client,0,4096,1,3,1849.29
client,0,4096,8,1,2833.72
client,0,4096,8,2,3007.81
client,0,4096,8,3,3014.88
