mode,sieve,io_size,threads,run,iops,mbps,time_ms
embed,1,512,1,1,,0,568.269
embed,1,512,1,2,,0,494.689
embed,1,512,1,3,,0,564.445
embed,1,512,8,1,,0,1670.35
embed,1,512,8,2,,0,1732.21
embed,1,512,8,3,,0,1625.6
embed,1,4096,1,1,,0,504.08
embed,1,4096,1,2,,0,500.834
embed,1,4096,1,3,,0,519.134
embed,1,4096,8,1,,0,1148.83
embed,1,4096,8,2,,0,864.906
embed,1,4096,8,3,,0,813.653
embed,0,512,1,1,,0,4088.66
embed,0,512,1,2,,0,4185.91
embed,0,512,1,3,,0,4387.62
embed,0,512,8,1,,0,15681.5
embed,0,512,8,2,,0,12003.7
embed,0,512,8,3,,0,11914.1
embed,0,4096,1,1,,0,1825.62
embed,0,4096,1,2,,0,1819.9
embed,0,4096,1,3,,0,1831.5
embed,0,4096,8,1,,0,2346.53
embed,0,4096,8,2,,0,2673.33
embed,0,4096,8,3,,0,2412.9
