target,bs,threads,run,iops,runtime_ms
/dev/shm/fio1007,512,1,1,554016,361
/dev/shm/fio1007,512,1,2,641025,312
/dev/shm/fio1007,512,1,3,660066,303
/dev/shm/fio1007,512,8,1,2515723,159
/dev/shm/fio1007,512,8,2,2919708,137
/dev/shm/fio1007,512,8,3,2857142,140
/dev/shm/fio1007,4k,1,1,505050,99
/dev/shm/fio1007,4k,1,2,359712,139
/dev/shm/fio1007,4k,1,3,515463,97
/dev/shm/fio1007,4k,8,1,1886792,53
/dev/shm/fio1007,4k,8,2,1282051,78
/dev/shm/fio1007,4k,8,3,1754385,57
/home/iowarp/fio1007,512,1,1,222222,900
/home/iowarp/fio1007,512,1,2,37411,5346
/home/iowarp/fio1007,512,1,3,37502,5333
/home/iowarp/fio1007,512,8,1,245398,1630
/home/iowarp/fio1007,512,8,2,227531,1758
/home/iowarp/fio1007,512,8,3,225606,1773
/home/iowarp/fio1007,4k,1,1,72046,694
/home/iowarp/fio1007,4k,1,2,80128,624
/home/iowarp/fio1007,4k,1,3,81168,616
/home/iowarp/fio1007,4k,8,1,159744,626
/home/iowarp/fio1007,4k,8,2,296735,337
/home/iowarp/fio1007,4k,8,3,330033,303
