run_idx,combination_idx,repeat_idx,status,runtime,cte_bench_timed.io_size,cte_bench_timed.num_threads,cte_bench_timed.get.agg_bw_mbps,cte_bench_timed.get.agg_ops_per_sec,cte_bench_timed.get.avg_latency_per_op_us,cte_bench_timed.get.bw_per_thread_avg_mbps,cte_bench_timed.get.bw_per_thread_max_mbps,cte_bench_timed.get.bw_per_thread_min_mbps,cte_bench_timed.get.latency_stddev_us,cte_bench_timed.get.ops_per_thread_avg_per_sec,cte_bench_timed.get.time_avg_us,cte_bench_timed.get.time_max_us,cte_bench_timed.get.time_min_us,cte_bench_timed.get.total_data_mb,cte_bench_timed.get.total_ops,error
0,0,0,success,37.144787073135376,4k,1,50.3534,12890.5,77.5767,50.3534,50.3534,50.3534,0.0,12890.5,30000200.0,30000155.0,30000155.0,1510.61,386716.0,
1,0,1,success,37.122055768966675,4k,1,50.7833,13000.5,76.92,50.7833,50.7833,50.7833,0.0,13000.5,30000000.0,30000045.0,30000045.0,1523.5,390016.0,
2,0,2,success,37.13241100311279,4k,1,51.0192,13060.9,76.5644,51.0192,51.0192,51.0192,0.0,13060.9,30000100.0,30000070.0,30000070.0,1530.58,391828.0,
3,1,0,success,37.133907318115234,4k,2,252.433,64622.8,30.9488,126.216,126.216,126.217,132.0,32311.4,30000200.0,30000306.0,30000042.0,7573.03,1938696.0,
4,1,1,success,37.13550329208374,4k,2,260.198,66610.7,30.0252,130.099,130.099,130.099,108.0,33305.3,30000200.0,30000341.0,30000125.0,7806.0,1998336.0,
5,1,2,success,36.18635606765747,4k,2,248.98,63739.0,31.378,124.49,124.49,124.49,6.0,31869.5,30000100.0,30000059.0,30000047.0,7469.42,1912172.0,
6,2,0,success,37.1328809261322,4k,4,180.853,46298.4,86.396,45.2133,45.2133,45.2133,11.2999,11574.6,30000100.0,30000164.0,30000135.0,5425.62,1388960.0,
7,2,1,success,37.14972138404846,4k,4,178.053,45581.5,87.755,44.5132,44.5131,44.5133,57.2931,11395.4,30000100.0,30000139.0,30000000.0,5341.59,1367448.0,
8,2,2,success,37.12752962112427,4k,4,177.297,45388.1,88.1288,44.3243,44.3243,44.3244,34.0028,11347.0,30000300.0,30000300.0,30000213.0,5318.97,1361656.0,
9,3,0,success,37.13180732727051,16k,1,186.43,11931.5,83.8118,186.43,186.43,186.43,0.0,11931.5,30000300.0,30000260.0,30000260.0,5592.94,357948.0,
10,3,1,success,37.12588572502136,16k,1,198.373,12695.8,78.7659,198.373,198.373,198.373,0.0,12695.8,30000100.0,30000057.0,30000057.0,5951.19,380876.0,
11,3,2,success,37.140950441360474,16k,1,203.359,13015.0,76.8345,203.359,203.359,203.359,0.0,13015.0,30000200.0,30000177.0,30000177.0,6100.81,390452.0,
12,4,0,success,37.132667541503906,16k,2,887.898,56825.5,35.1955,443.949,443.949,443.949,16.0,28412.7,30000100.0,30000074.0,30000042.0,26637.0,1704768.0,
13,4,1,success,37.13463497161865,16k,2,991.69,63468.2,31.5119,495.845,495.845,495.845,0.5,31734.1,30000100.0,30000051.0,30000050.0,29750.8,1904048.0,
14,4,2,success,37.12371635437012,16k,2,1014.21,64909.7,30.812,507.107,507.107,507.107,1.0,32454.9,30000100.0,30000075.0,30000073.0,30426.5,1947296.0,
15,5,0,success,37.21431565284729,16k,4,700.962,44861.6,89.1632,175.24,175.24,175.241,88.955,11215.4,30000100.0,30000246.0,30000000.0,21028.9,1345852.0,
16,5,1,success,37.136568546295166,16k,4,740.801,47411.3,84.3682,185.2,185.2,185.201,48.0852,11852.8,30000300.0,30000353.0,30000234.0,22224.2,1422352.0,
17,5,2,success,37.14135932922363,16k,4,707.151,45257.7,88.3828,176.788,176.788,176.788,4.38035,11314.4,30000000.0,30000051.0,30000039.0,21214.6,1357732.0,
18,6,0,success,37.13297772407532,64k,1,776.913,12430.6,80.4465,776.913,776.913,776.913,0.0,12430.6,30000100.0,30000123.0,30000123.0,23307.5,372920.0,
19,6,1,success,37.15032076835632,64k,1,613.243,9811.89,101.917,613.243,613.243,613.243,0.0,9811.89,30000700.0,30000747.0,30000747.0,18397.8,294364.0,
20,6,2,success,37.225385427474976,64k,1,686.023,10976.4,91.1048,686.023,686.023,686.023,0.0,10976.4,30000100.0,30000081.0,30000081.0,20580.8,329292.0,
21,7,0,success,37.210314989089966,64k,2,3380.99,54095.9,36.9714,1690.5,1690.5,1690.5,23.0,27048.0,30000100.0,30000074.0,30000028.0,101430.0,1622880.0,
22,7,1,success,37.13846945762634,64k,2,3526.72,56427.5,35.4437,1763.36,1763.35,1763.37,123.5,28213.7,30000100.0,30000253.0,30000006.0,105802.0,1692832.0,
23,7,2,success,37.156556367874146,64k,2,3370.87,53934.0,37.0824,1685.44,1685.43,1685.44,51.5,26967.0,30000200.0,30000222.0,30000119.0,101127.0,1618028.0,
24,8,0,success,37.17340397834778,64k,4,2682.41,42918.5,93.1998,670.602,670.601,670.603,34.6735,10729.6,30000100.0,30000143.0,30000050.0,80472.5,1287560.0,
25,8,1,success,37.13263440132141,64k,4,2511.47,40183.5,99.5432,627.868,627.864,627.871,139.776,10045.9,30000400.0,30000641.0,30000283.0,75345.2,1205524.0,
26,8,2,success,37.13358664512634,64k,4,2531.72,40507.5,98.7472,632.93,632.928,632.932,71.1934,10126.9,30000500.0,30000530.0,30000354.0,75952.8,1215244.0,
27,9,0,success,37.137362003326416,256k,1,2597.67,10390.7,96.2399,2597.67,2597.67,2597.67,0.0,10390.7,30000300.0,30000289.0,30000289.0,77931.0,311724.0,
28,9,1,success,37.127201557159424,256k,1,2607.75,10431.0,95.868,2607.75,2607.75,2607.75,0.0,10431.0,30000500.0,30000544.0,30000544.0,78234.0,312936.0,
29,9,2,success,37.136470079422,256k,1,2593.52,10374.1,96.3942,2593.52,2593.52,2593.52,0.0,10374.1,30000200.0,30000182.0,30000182.0,77806.0,311224.0,
30,10,0,success,37.151268005371094,256k,2,9411.93,37647.7,53.1241,4705.97,4705.96,4705.97,10.5,18823.9,30000100.0,30000121.0,30000100.0,282359.0,1129436.0,
31,10,1,success,38.14273929595947,256k,2,7371.23,29484.9,67.8313,3685.61,3685.59,3685.64,227.0,14742.5,30000400.0,30000662.0,30000208.0,221140.0,884560.0,
32,10,2,success,37.15436792373657,256k,2,7617.52,30470.1,65.6382,3808.76,3808.74,3808.78,172.5,15235.0,30000200.0,30000370.0,30000025.0,228527.0,914108.0,
33,11,0,success,38.505069971084595,256k,4,8018.7,32074.8,124.709,2004.67,2004.67,2004.68,55.5355,8018.7,30000100.0,30000206.0,30000053.0,240562.0,962248.0,
34,11,1,success,37.13971948623657,256k,4,8478.24,33913.0,117.949,2119.56,2119.55,2119.57,126.26,8478.24,30000400.0,30000620.0,30000298.0,254351.0,1017404.0,
35,11,2,success,37.14879298210144,256k,4,8518.31,34073.3,117.394,2129.58,2129.57,2129.58,75.7706,8518.31,30000300.0,30000425.0,30000217.0,255552.0,1022208.0,
36,12,0,success,37.15773129463196,1m,1,3499.36,3499.36,285.767,3499.36,3499.36,3499.36,0.0,3499.36,30000900.0,30000929.0,30000929.0,104984.0,104984.0,
37,12,1,success,37.14139533042908,1m,1,3455.01,3455.01,289.434,3455.01,3455.01,3455.01,0.0,3455.01,30000500.0,30000459.0,30000459.0,103652.0,103652.0,
38,12,2,success,37.13655734062195,1m,1,3523.1,3523.1,283.841,3523.1,3523.1,3523.1,0.0,3523.1,30000800.0,30000837.0,30000837.0,105696.0,105696.0,
