run_idx,combination_idx,repeat_idx,status,runtime,cte_bench_timed.io_size,cte_bench_timed.num_threads,cte_bench_timed.put.agg_bw_mbps,cte_bench_timed.put.agg_ops_per_sec,cte_bench_timed.put.avg_latency_per_op_us,cte_bench_timed.put.bw_per_thread_avg_mbps,cte_bench_timed.put.bw_per_thread_max_mbps,cte_bench_timed.put.bw_per_thread_min_mbps,cte_bench_timed.put.latency_stddev_us,cte_bench_timed.put.ops_per_thread_avg_per_sec,cte_bench_timed.put.time_avg_us,cte_bench_timed.put.time_max_us,cte_bench_timed.put.time_min_us,cte_bench_timed.put.total_data_mb,cte_bench_timed.put.total_ops,error
0,0,0,success,37.33864140510559,4k,1,16.053,4109.57,243.335,16.053,16.053,16.053,0.0,4109.57,30001200.0,30001207.0,30001207.0,481.609,123292.0,
1,0,1,success,37.35640740394592,4k,1,15.5442,3979.31,251.3,15.5442,15.5442,15.5442,0.0,3979.31,30000200.0,30000175.0,30000175.0,466.328,119380.0,
2,0,2,success,37.15555953979492,4k,1,16.9487,4338.87,230.475,16.9487,16.9487,16.9487,0.0,4338.87,30000400.0,30000411.0,30000411.0,508.469,130168.0,
3,1,0,success,37.13290095329285,4k,2,14.9019,3814.89,524.261,7.45096,7.45093,7.45099,128.0,1907.45,30000300.0,30000444.0,30000188.0,447.062,114448.0,
4,1,1,success,37.15139389038086,4k,2,14.3247,3667.11,545.388,7.16233,7.16231,7.16235,86.0,1833.56,30000700.0,30000790.0,30000618.0,429.75,110016.0,
5,1,2,success,37.14706254005432,4k,2,14.6289,3744.99,534.047,7.31443,7.3144,7.31445,93.5,1872.49,30000600.0,30000734.0,30000547.0,438.875,112352.0,
6,2,0,success,37.15527081489563,4k,4,13.8653,3549.52,1126.91,3.46633,3.46631,3.46635,135.365,887.381,30000600.0,30000840.0,30000459.0,415.969,106488.0,
7,2,1,success,37.142197608947754,4k,4,12.7748,3270.35,1223.11,3.1937,3.19367,3.19372,173.555,817.586,30000500.0,30000758.0,30000326.0,383.25,98112.0,
8,2,2,success,37.14188528060913,4k,4,13.4367,3439.79,1162.86,3.35917,3.35914,3.35919,164.592,859.947,30000700.0,30000898.0,30000521.0,403.109,103196.0,
9,3,0,success,37.26270318031311,16k,1,88.5296,5665.9,176.495,88.5296,88.5296,88.5296,0.0,5665.9,30000500.0,30000544.0,30000544.0,2655.94,169980.0,
10,3,1,success,37.249207973480225,16k,1,90.9621,5821.58,171.775,90.9621,90.9621,90.9621,0.0,5821.58,30000100.0,30000116.0,30000116.0,2728.88,174648.0,
11,3,2,success,37.13311433792114,16k,1,95.1618,6090.36,164.194,95.1618,95.1618,95.1618,0.0,6090.36,30000200.0,30000213.0,30000213.0,2854.88,182712.0,
12,4,0,success,37.12926697731018,16k,2,90.3832,5784.53,345.75,45.1916,45.1912,45.192,262.0,2892.26,30000700.0,30000995.0,30000471.0,2711.56,173540.0,
13,4,1,success,37.166996002197266,16k,2,89.7242,5742.35,348.29,44.8621,44.8617,44.8625,246.0,2871.17,30000300.0,30000513.0,30000021.0,2691.75,172272.0,
14,4,2,success,37.14340567588806,16k,2,89.6789,5739.45,348.465,44.8395,44.839,44.8399,307.0,2869.73,30000800.0,30001077.0,30000463.0,2690.44,172188.0,
15,5,0,success,37.15441107749939,16k,4,73.0974,4678.23,855.024,18.2743,18.2734,18.2755,1320.46,1169.56,30002800.0,30004301.0,30000897.0,2193.12,140360.0,
16,5,1,success,36.18983435630798,16k,4,71.6801,4587.52,871.93,17.92,17.9195,17.9205,658.131,1146.88,30001400.0,30002265.0,30000483.0,2150.5,137632.0,
17,5,2,success,37.14223504066467,16k,4,72.1854,4619.86,865.826,18.0463,18.045,18.0476,1626.77,1154.97,30003500.0,30005704.0,30001347.0,2165.81,138612.0,
18,6,0,success,37.13893246650696,64k,1,410.793,6572.69,152.145,410.793,410.793,410.793,0.0,6572.69,30000500.0,30000512.0,30000512.0,12324.0,197184.0,
