run_idx,combination_idx,repeat_idx,status,runtime,cte_bench_timed.io_size,cte_bench_timed.num_threads,cte_bench_timed.putget.agg_bw_mbps,cte_bench_timed.putget.agg_ops_per_sec,cte_bench_timed.putget.avg_latency_per_op_us,cte_bench_timed.putget.bw_per_thread_avg_mbps,cte_bench_timed.putget.bw_per_thread_max_mbps,cte_bench_timed.putget.bw_per_thread_min_mbps,cte_bench_timed.putget.latency_stddev_us,cte_bench_timed.putget.ops_per_thread_avg_per_sec,cte_bench_timed.putget.time_avg_us,cte_bench_timed.putget.time_max_us,cte_bench_timed.putget.time_min_us,cte_bench_timed.putget.total_data_mb,cte_bench_timed.putget.total_ops,error
0,0,0,success,37.18028903007507,4k,1,14.8992,3814.19,262.179,14.8992,14.8992,14.8992,0.0,3814.19,30000600.0,30000640.0,30000640.0,446.984,114428.0,
1,0,1,success,37.13508629798889,4k,1,14.1685,3627.15,275.699,14.1685,14.1685,14.1685,0.0,3627.15,30000400.0,30000436.0,30000436.0,425.062,108816.0,
2,0,2,success,37.140761613845825,4k,1,12.9498,3315.15,301.645,12.9498,12.9498,12.9498,0.0,3315.15,30000400.0,30000416.0,30000416.0,388.5,99456.0,
3,1,0,success,37.128058433532715,4k,2,14.7298,3770.82,530.389,7.36488,7.36485,7.36491,128.5,1885.41,30000900.0,30001042.0,30000785.0,441.906,113128.0,
4,1,1,success,37.11932587623596,4k,2,15.2346,3900.07,512.812,7.61731,7.61728,7.61735,154.0,1950.03,30000500.0,30000679.0,30000371.0,457.047,117004.0,
5,1,2,success,37.139716148376465,4k,2,15.419,3947.27,506.68,7.70951,7.70949,7.70952,50.5,1973.63,30000500.0,30000550.0,30000449.0,462.578,118420.0,
6,2,0,success,37.12774062156677,4k,4,11.7488,3007.69,1329.93,2.93719,2.93717,2.93722,273.382,751.922,30000500.0,30000752.0,30000193.0,352.469,90232.0,
7,2,1,success,37.3253870010376,4k,4,12.2878,3145.68,1271.59,3.07195,3.07194,3.07196,48.7801,786.419,30000600.0,30000606.0,30000479.0,368.641,94372.0,
8,2,2,success,37.24046611785889,4k,4,12.0821,3093.02,1293.23,3.02053,3.0205,3.02056,236.129,773.255,30000500.0,30000742.0,30000090.0,362.469,92792.0,
9,3,0,success,37.12965798377991,16k,1,84.9046,5433.9,184.03,84.9046,84.9046,84.9046,0.0,5433.9,30000600.0,30000567.0,30000567.0,2547.19,163020.0,
