run_idx,combination_idx,repeat_idx,status,runtime,cte_bench_timed.io_size,cte_bench_timed.num_threads,cte_bench_timed.get.agg_bw_mbps,cte_bench_timed.get.agg_ops_per_sec,cte_bench_timed.get.avg_latency_per_op_us,cte_bench_timed.get.bw_per_thread_avg_mbps,cte_bench_timed.get.bw_per_thread_max_mbps,cte_bench_timed.get.bw_per_thread_min_mbps,cte_bench_timed.get.latency_stddev_us,cte_bench_timed.get.ops_per_thread_avg_per_sec,cte_bench_timed.get.time_avg_us,cte_bench_timed.get.time_max_us,cte_bench_timed.get.time_min_us,cte_bench_timed.get.total_data_mb,cte_bench_timed.get.total_ops,cte_bench_timed.put.agg_bw_mbps,cte_bench_timed.put.agg_ops_per_sec,cte_bench_timed.put.avg_latency_per_op_us,cte_bench_timed.put.bw_per_thread_avg_mbps,cte_bench_timed.put.bw_per_thread_max_mbps,cte_bench_timed.put.bw_per_thread_min_mbps,cte_bench_timed.put.latency_stddev_us,cte_bench_timed.put.ops_per_thread_avg_per_sec,cte_bench_timed.put.time_avg_us,cte_bench_timed.put.time_max_us,cte_bench_timed.put.time_min_us,cte_bench_timed.put.total_data_mb,cte_bench_timed.put.total_ops,cte_bench_timed.putget.agg_bw_mbps,cte_bench_timed.putget.agg_ops_per_sec,cte_bench_timed.putget.avg_latency_per_op_us,cte_bench_timed.putget.bw_per_thread_avg_mbps,cte_bench_timed.putget.bw_per_thread_max_mbps,cte_bench_timed.putget.bw_per_thread_min_mbps,cte_bench_timed.putget.latency_stddev_us,cte_bench_timed.putget.ops_per_thread_avg_per_sec,cte_bench_timed.putget.time_avg_us,cte_bench_timed.putget.time_max_us,cte_bench_timed.putget.time_min_us,cte_bench_timed.putget.total_data_mb,cte_bench_timed.putget.total_ops,error
0,0,0,success,37.15736985206604,4k,1,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2904,3402.34,293.915,13.2904,13.2904,13.2904,0.0,3402.34,30000500.0,30000538.0,30000538.0,398.719,102072.0,
1,0,1,success,37.14621877670288,4k,1,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4007,3174.58,315.002,12.4007,12.4007,12.4007,0.0,3174.58,30000800.0,30000799.0,30000799.0,372.031,95240.0,
2,0,2,success,37.169875144958496,4k,1,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3784,3424.87,291.981,13.3784,13.3784,13.3784,0.0,3424.87,30000500.0,30000511.0,30000511.0,401.359,102748.0,
3,0,3,success,37.26967716217041,4k,1,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7617,3266.98,306.093,12.7617,12.7617,12.7617,0.0,3266.98,30005700.0,30005669.0,30005669.0,382.922,98028.0,
4,1,0,success,37.145243406295776,4k,2,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3591,3675.93,544.079,7.17956,7.17956,7.17956,9.5,1837.97,30000500.0,30000542.0,30000523.0,430.781,110280.0,
5,1,1,success,37.14777135848999,4k,2,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3735,3935.62,508.179,7.68675,7.68674,7.68677,68.0,1967.81,30000900.0,30000943.0,30000807.0,461.219,118072.0,
6,1,2,success,37.16963171958923,4k,2,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6312,3233.59,618.507,6.31561,6.31561,6.31561,9.5,1616.8,30000100.0,30000072.0,30000053.0,378.938,97008.0,
7,1,3,success,37.13101291656494,4k,2,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0116,3586.98,557.572,7.00582,7.00581,7.00583,33.5,1793.49,30000700.0,30000767.0,30000700.0,420.359,107612.0,
8,2,0,success,37.146833658218384,4k,4,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3817,2913.7,1372.82,2.84541,2.84538,2.84545,242.426,728.426,30001700.0,30001983.0,30001313.0,341.469,87416.0,
9,2,1,success,37.14380073547363,4k,4,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5233,2949.96,1355.95,2.88082,2.8808,2.88084,172.889,737.49,30000400.0,30000646.0,30000178.0,345.703,88500.0,
10,2,2,success,37.13604688644409,4k,4,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5939,2968.04,1347.69,2.89848,2.89846,2.8985,156.328,742.01,30000900.0,30001101.0,30000687.0,347.828,89044.0,
11,2,3,success,37.13115453720093,4k,4,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8599,3036.13,1317.47,2.96497,2.96496,2.965,187.09,759.033,30001300.0,30001459.0,30001023.0,355.812,91088.0,
12,3,0,success,17.13530969619751,16k,1,,,,,,,,,,,,,,,,,,,,,,,,,,,74.2784,4753.82,210.357,74.2784,74.2784,74.2784,0.0,4753.82,30000300.0,30000301.0,30000301.0,2228.38,142616.0,
13,3,1,success,19.184956789016724,16k,1,,,,,,,,,,,,,,,,,,,,,,,,,,,83.2712,5329.36,187.64,83.2712,83.2712,83.2712,0.0,5329.36,30000600.0,30000606.0,30000606.0,2498.19,159884.0,
14,3,2,success,17.12672257423401,16k,1,,,,,,,,,,,,,,,,,,,,,,,,,,,85.2455,5455.71,183.294,85.2455,85.2455,85.2455,0.0,5455.71,30000100.0,30000124.0,30000124.0,2557.38,163672.0,
15,3,3,success,16.12403655052185,16k,1,,,,,,,,,,,,,,,,,,,,,,,,,,,80.7319,5166.84,193.542,80.7319,80.7319,80.7319,0.0,5166.84,30000500.0,30000537.0,30000537.0,2422.0,155008.0,
16,4,0,success,16.11986207962036,16k,2,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5557,5155.57,387.93,40.2779,40.2778,40.2779,6.5,2577.78,30000200.0,30000209.0,30000196.0,2416.69,154668.0,
17,4,1,success,17.13862109184265,16k,2,,,,,,,,,,,,,,,,,,,,,,,,,,,82.354,5270.66,379.459,41.177,41.177,41.177,14.0,2635.33,30000800.0,30000833.0,30000805.0,2470.69,158124.0,
18,4,2,success,16.135297536849976,16k,2,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5588,5155.77,387.915,40.2794,40.2794,40.2794,18.5,2577.88,30000600.0,30000606.0,30000569.0,2416.81,154676.0,
19,4,3,success,18.125738620758057,16k,2,,,,,,,,,,,,,,,,,,,,,,,,,,,83.2763,5329.68,375.257,41.6381,41.6381,41.6382,10.5,2664.84,30000300.0,30000299.0,30000278.0,2498.31,159892.0,
20,5,0,success,19.130975484848022,16k,4,,,,,,,,,,,,,,,,,,,,,,,,,,,67.365,4311.36,927.782,16.8412,16.8412,16.8413,42.3704,1077.84,30003500.0,30003561.0,30003458.0,2021.19,129356.0,
21,5,1,success,19.13542366027832,16k,4,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4,4121.6,970.498,16.1,16.1,16.1,7.72577,1030.4,30000000.0,30000033.0,30000012.0,1932.0,123648.0,
22,5,2,success,19.125848293304443,16k,4,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5816,3685.22,1085.42,14.3954,14.3953,14.3955,108.197,921.306,30000900.0,30001080.0,30000788.0,1727.5,110560.0,
23,5,3,success,20.133355379104614,16k,4,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4092,3994.19,1001.45,15.6023,15.6023,15.6023,37.9959,998.548,30003600.0,30003641.0,30003547.0,1872.5,119840.0,
24,6,0,success,10.132806062698364,64k,1,,,,,,,,,,,,,,,,,,,,,,,,,,,356.99,5711.84,175.075,356.99,356.99,356.99,0.0,5711.84,30001600.0,30001559.0,30001559.0,10710.2,171364.0,
25,6,1,success,10.134907007217407,64k,1,,,,,,,,,,,,,,,,,,,,,,,,,,,378.402,6054.43,165.168,378.402,378.402,378.402,0.0,6054.43,30000500.0,30000535.0,30000535.0,11352.2,181636.0,
26,6,2,success,10.134325742721558,64k,1,,,,,,,,,,,,,,,,,,,,,,,,,,,382.29,6116.65,163.488,382.29,382.29,382.29,0.0,6116.65,30000100.0,30000106.0,30000106.0,11468.8,183500.0,
27,6,3,success,10.124468326568604,64k,1,,,,,,,,,,,,,,408.964,6543.42,152.825,408.964,408.964,408.964,0.0,6543.42,30000200.0,30000210.0,30000210.0,12269.0,196304.0,,,,,,,,,,,,,,
