run_idx,combination_idx,repeat_idx,status,runtime,cte_bench_timed.io_size,cte_bench_timed.num_threads,cte_bench_timed.putget.agg_bw_mbps,cte_bench_timed.putget.agg_ops_per_sec,cte_bench_timed.putget.avg_latency_per_op_us,cte_bench_timed.putget.bw_per_thread_avg_mbps,cte_bench_timed.putget.bw_per_thread_max_mbps,cte_bench_timed.putget.bw_per_thread_min_mbps,cte_bench_timed.putget.latency_stddev_us,cte_bench_timed.putget.ops_per_thread_avg_per_sec,cte_bench_timed.putget.time_avg_us,cte_bench_timed.putget.time_max_us,cte_bench_timed.putget.time_min_us,cte_bench_timed.putget.total_data_mb,cte_bench_timed.putget.total_ops,error
0,0,0,success,37.4860417842865,4k,2,14.3997,3686.33,542.545,7.19986,7.19985,7.19987,47.0,1843.16,30000600.0,30000624.0,30000530.0,432.0,110592.0,
1,0,1,success,36.19295287132263,4k,2,14.2564,3649.65,547.998,7.12822,7.12822,7.12823,36.5,1824.83,30000700.0,30000713.0,30000640.0,427.703,109492.0,
2,0,2,success,37.16541838645935,4k,2,14.0841,3605.53,554.704,7.04204,7.042,7.04209,188.0,1802.76,30000600.0,30000806.0,30000430.0,422.531,108168.0,
3,0,3,success,37.14744758605957,4k,2,13.8385,3542.67,564.547,6.91927,6.91925,6.91929,95.0,1771.33,30001100.0,30001233.0,30001043.0,415.172,106284.0,
4,0,4,success,37.15179753303528,4k,2,13.8637,3549.12,563.52,6.93187,6.93185,6.93189,76.5,1774.56,30000700.0,30000763.0,30000610.0,415.922,106476.0,
5,0,5,success,37.13516855239868,4k,2,14.1464,3621.49,552.259,7.07322,7.07317,7.07327,216.0,1810.74,30000900.0,30001135.0,30000703.0,424.406,108648.0,
6,0,6,success,37.14721155166626,4k,2,13.9604,3573.85,559.62,6.98018,6.98014,6.98023,192.5,1786.93,30002400.0,30002549.0,30002164.0,418.844,107224.0,
7,0,7,success,37.142168045043945,4k,2,13.9911,3581.72,558.391,6.99555,6.99555,6.99555,4.0,1790.86,30000100.0,30000108.0,30000100.0,419.734,107452.0,
8,0,8,success,37.14969825744629,4k,2,12.6805,3246.21,616.103,6.34025,6.34021,6.34029,192.5,1623.1,30000500.0,30000719.0,30000334.0,380.422,97388.0,
9,0,9,success,37.150001764297485,4k,2,13.8769,3552.5,562.984,6.93847,6.93846,6.93849,66.5,1776.25,30000300.0,30000356.0,30000223.0,416.312,106576.0,
