run_idx,combination_idx,repeat_idx,status,runtime,cte_bench.io_size,cte_bench.num_threads,cte_bench.putget.agg_bw_mbps,cte_bench.putget.agg_ops_per_sec,cte_bench.putget.avg_latency_per_op_us,cte_bench.putget.bw_per_thread_avg_mbps,cte_bench.putget.bw_per_thread_max_mbps,cte_bench.putget.bw_per_thread_min_mbps,cte_bench.putget.latency_stddev_us,cte_bench.putget.ops_per_thread_avg_per_sec,cte_bench.putget.time_avg_us,cte_bench.putget.time_max_us,cte_bench.putget.time_min_us,cte_bench.putget.total_data_mb,cte_bench.putget.total_ops,error
0,0,0,success,7.228063106536865,4k,1,8.29581,2123.73,470.87,8.29581,8.29581,8.29581,0.0,2123.73,47087.0,47087.0,47087.0,0.390625,100.0,
1,0,1,success,7.231962203979492,4k,1,9.03806,2313.74,432.2,9.03806,9.03806,9.03806,0.0,2313.74,43220.0,43220.0,43220.0,0.390625,100.0,
2,0,2,success,7.267821311950684,4k,1,8.20193,2099.69,476.26,8.20193,8.20193,8.20193,0.0,2099.69,47626.0,47626.0,47626.0,0.390625,100.0,
3,0,3,success,7.1415534019470215,4k,1,5.9788,1530.57,653.35,5.9788,5.9788,5.9788,0.0,1530.57,65335.0,65335.0,65335.0,0.390625,100.0,
4,1,0,success,7.149489164352417,4k,2,4.77085,1221.34,1637.55,2.38542,2.30328,2.47364,5840.0,610.668,163755.0,169595.0,157915.0,0.78125,200.0,
5,1,1,success,7.1411378383636475,4k,2,7.67425,1964.61,1018.01,3.83712,3.78454,3.89119,1414.5,982.304,101802.0,103216.0,100387.0,0.78125,200.0,
6,1,2,success,7.140121221542358,4k,2,9.06628,2320.97,861.71,4.53314,4.52956,4.53672,68.0,1160.48,86171.0,86239.0,86103.0,0.78125,200.0,
7,1,3,success,7.15077543258667,4k,2,10.3734,2655.58,753.13,5.18669,5.11953,5.25563,988.0,1327.79,75313.0,76301.0,74325.0,0.78125,200.0,
8,2,0,success,7.1432106494903564,4k,4,7.05932,1807.18,2213.39,1.76483,1.73155,1.78611,2841.22,451.796,221339.0,225593.0,218701.0,1.5625,400.0,
9,2,1,success,7.140517711639404,4k,4,4.31809,1105.43,3618.5,1.07952,1.06154,1.09258,4172.0,276.358,361850.0,367978.0,357524.0,1.5625,400.0,
10,2,2,success,7.141427993774414,4k,4,8.33166,2132.9,1875.38,2.08291,2.07981,2.08937,340.959,533.226,187538.0,187818.0,186958.0,1.5625,400.0,
11,2,3,success,7.136178731918335,4k,4,4.71189,1206.24,3316.08,1.17797,1.16835,1.19425,2828.09,301.561,331608.0,334340.0,327089.0,1.5625,400.0,
