run_idx,combination_idx,repeat_idx,status,runtime,cte_bench_timed.io_size,cte_bench_timed.num_threads,cte_bench_timed.test_case,cte_bench_timed.get.agg_bw_mbps,cte_bench_timed.get.agg_ops_per_sec,cte_bench_timed.get.avg_latency_per_op_us,cte_bench_timed.get.bw_per_thread_avg_mbps,cte_bench_timed.get.bw_per_thread_max_mbps,cte_bench_timed.get.bw_per_thread_min_mbps,cte_bench_timed.get.latency_stddev_us,cte_bench_timed.get.ops_per_thread_avg_per_sec,cte_bench_timed.get.time_avg_us,cte_bench_timed.get.time_max_us,cte_bench_timed.get.time_min_us,cte_bench_timed.get.total_data_mb,cte_bench_timed.get.total_ops,cte_bench_timed.put.agg_bw_mbps,cte_bench_timed.put.agg_ops_per_sec,cte_bench_timed.put.avg_latency_per_op_us,cte_bench_timed.put.bw_per_thread_avg_mbps,cte_bench_timed.put.bw_per_thread_max_mbps,cte_bench_timed.put.bw_per_thread_min_mbps,cte_bench_timed.put.latency_stddev_us,cte_bench_timed.put.ops_per_thread_avg_per_sec,cte_bench_timed.put.time_avg_us,cte_bench_timed.put.time_max_us,cte_bench_timed.put.time_min_us,cte_bench_timed.put.total_data_mb,cte_bench_timed.put.total_ops,cte_bench_timed.putget.agg_bw_mbps,cte_bench_timed.putget.agg_ops_per_sec,cte_bench_timed.putget.avg_latency_per_op_us,cte_bench_timed.putget.bw_per_thread_avg_mbps,cte_bench_timed.putget.bw_per_thread_max_mbps,cte_bench_timed.putget.bw_per_thread_min_mbps,cte_bench_timed.putget.latency_stddev_us,cte_bench_timed.putget.ops_per_thread_avg_per_sec,cte_bench_timed.putget.time_avg_us,cte_bench_timed.putget.time_max_us,cte_bench_timed.putget.time_min_us,cte_bench_timed.putget.total_data_mb,cte_bench_timed.putget.total_ops,error
0,0,0,success,37.374494791030884,4k,1,Put,,,,,,,,,,,,,,7.78822,1993.78,501.559,7.78822,7.78822,7.78822,0.0,1993.78,30001200.0,30001238.0,30001238.0,233.656,59816.0,,,,,,,,,,,,,,
1,0,1,success,36.27864050865173,4k,1,Put,,,,,,,,,,,,,,7.78701,1993.47,501.637,7.78701,7.78701,7.78701,0.0,1993.47,30001900.0,30001904.0,30001904.0,233.625,59808.0,,,,,,,,,,,,,,
2,0,2,success,36.29205632209778,4k,1,Put,,,,,,,,,,,,,,7.79232,1994.83,501.295,7.79232,7.79232,7.79232,0.0,1994.83,30001500.0,30001483.0,30001483.0,233.781,59848.0,,,,,,,,,,,,,,
3,1,0,success,36.28793025016785,4k,2,Put,,,,,,,,,,,,,,7.94261,2033.31,983.619,3.97131,3.9713,3.97131,39.0,1016.65,30000400.0,30000408.0,30000330.0,238.281,61000.0,,,,,,,,,,,,,,
4,1,1,success,36.28367781639099,4k,2,Put,,,,,,,,,,,,,,7.87027,2014.79,992.659,3.93514,3.93513,3.93515,66.5,1007.39,30002100.0,30002201.0,30002068.0,236.125,60448.0,,,,,,,,,,,,,,
5,1,2,success,36.30644869804382,4k,2,Put,,,,,,,,,,,,,,7.90162,2022.81,988.722,3.95081,3.9508,3.95081,23.5,1011.41,30001800.0,30001801.0,30001754.0,237.062,60688.0,,,,,,,,,,,,,,
6,2,0,success,36.277182817459106,4k,4,Put,,,,,,,,,,,,,,8.0183,2052.68,1948.67,2.00457,2.00457,2.00458,106.359,513.171,30003600.0,30003778.0,30003519.0,240.578,61588.0,,,,,,,,,,,,,,
7,2,1,success,36.271663188934326,4k,4,Put,,,,,,,,,,,,,,8.21868,2103.98,1901.16,2.05467,2.05465,2.05468,128.66,525.995,30000300.0,30000480.0,30000153.0,246.562,63120.0,,,,,,,,,,,,,,
8,2,2,success,36.26493549346924,4k,4,Put,,,,,,,,,,,,,,8.00546,2049.4,1951.79,2.00136,2.00136,2.00138,141.093,512.349,30001000.0,30001109.0,30000777.0,240.172,61484.0,,,,,,,,,,,,,,
9,3,0,success,36.28544759750366,16k,1,Put,,,,,,,,,,,,,,30.1326,1928.49,518.541,30.1326,30.1326,30.1326,0.0,1928.49,30000700.0,30000682.0,30000682.0,904.0,57856.0,,,,,,,,,,,,,,
10,3,1,success,36.28579020500183,16k,1,Put,,,,,,,,,,,,,,31.4257,2011.24,497.205,31.4257,31.4257,31.4257,0.0,2011.24,30001300.0,30001329.0,30001329.0,942.812,60340.0,,,,,,,,,,,,,,
11,3,2,success,36.2815957069397,16k,1,Put,,,,,,,,,,,,,,31.7702,2033.29,491.813,31.7702,31.7702,31.7702,0.0,2033.29,30000600.0,30000617.0,30000617.0,953.125,61000.0,,,,,,,,,,,,,,
12,4,0,success,36.27692461013794,16k,2,Put,,,,,,,,,,,,,,31.6546,2025.9,987.218,15.8273,15.8273,15.8273,64.0,1012.95,30001500.0,30001609.0,30001481.0,949.688,60780.0,,,,,,,,,,,,,,
13,4,1,success,36.27718234062195,16k,2,Put,,,,,,,,,,,,,,31.936,2043.9,978.519,15.968,15.9679,15.9681,133.5,1021.95,30001400.0,30001530.0,30001263.0,958.125,61320.0,,,,,,,,,,,,,,
14,4,2,success,36.28247904777527,16k,2,Put,,,,,,,,,,,,,,31.7066,2029.22,985.598,15.8533,15.8533,15.8533,59.5,1014.61,30001600.0,30001674.0,30001555.0,951.25,60880.0,,,,,,,,,,,,,,
15,5,0,success,36.28020739555359,16k,4,Put,,,,,,,,,,,,,,31.6654,2026.59,1973.76,7.91636,7.91631,7.91643,171.361,506.647,30003200.0,30003318.0,30002868.0,950.062,60804.0,,,,,,,,,,,,,,
16,5,1,success,36.27902340888977,16k,4,Put,,,,,,,,,,,,,,32.4669,2077.88,1925.04,8.11672,8.11668,8.11681,187.218,519.47,30001700.0,30001866.0,30001401.0,974.062,62340.0,,,,,,,,,,,,,,
17,5,2,success,36.28246235847473,16k,4,Put,,,,,,,,,,,,,,32.3886,2072.87,1929.69,8.09715,8.09712,8.09719,93.1263,518.218,30004800.0,30004875.0,30004621.0,971.812,62196.0,,,,,,,,,,,,,,
