run_idx,combination_idx,repeat_idx,status,runtime,cte_bench_timed.io_size,cte_bench_timed.num_threads,cte_bench_timed.test_case,cte_bench_timed.put.agg_bw_mbps,cte_bench_timed.put.agg_ops_per_sec,cte_bench_timed.put.avg_latency_per_op_us,cte_bench_timed.put.bw_per_thread_avg_mbps,cte_bench_timed.put.bw_per_thread_max_mbps,cte_bench_timed.put.bw_per_thread_min_mbps,cte_bench_timed.put.latency_stddev_us,cte_bench_timed.put.ops_per_thread_avg_per_sec,cte_bench_timed.put.time_avg_us,cte_bench_timed.put.time_max_us,cte_bench_timed.put.time_min_us,cte_bench_timed.put.total_data_mb,cte_bench_timed.put.total_ops,error
0,0,0,success,37.35271668434143,4k,1,Put,6.21796,1591.8,628.22,6.21796,6.21796,6.21796,0.0,1591.8,30001300.0,30001298.0,30001298.0,186.547,47756.0,
1,0,1,success,35.628204345703125,4k,1,Put,6.39933,1638.23,610.416,6.39933,6.39933,6.39933,0.0,1638.23,30000700.0,30000705.0,30000705.0,191.984,49148.0,
2,0,2,success,36.255446672439575,4k,1,Put,6.29141,1610.6,620.886,6.29141,6.29141,6.29141,0.0,1610.6,30001200.0,30001201.0,30001201.0,188.75,48320.0,
3,1,0,success,35.60934352874756,4k,2,Put,7.11227,1820.74,1098.45,3.55613,3.55613,3.55614,20.0,910.37,30001000.0,30001007.0,30000967.0,213.375,54624.0,
4,1,1,failed,,4k,2,Put,,,,,,,,,,,,,,Pipeline startup failed at package 'cte_bench_timed': Benchmark exited with non-zero code(s): {'localhost': 139}
5,1,2,success,34.604182720184326,4k,2,Put,7.20725,1845.06,1083.98,3.60362,3.60362,3.60363,24.5,922.528,30002400.0,30002375.0,30002326.0,216.234,55356.0,
6,2,0,success,35.63061046600342,4k,4,Put,7.74921,1983.8,2016.33,1.9373,1.9373,1.93731,87.2367,495.95,30003000.0,30003138.0,30002925.0,232.5,59520.0,
7,2,1,success,36.258620500564575,4k,4,Put,7.66396,1961.97,2038.76,1.91599,1.91598,1.916,85.5347,490.494,30002400.0,30002519.0,30002319.0,229.938,58864.0,
8,2,2,success,35.622960329055786,4k,4,Put,7.5607,1935.54,2066.61,1.89018,1.89017,1.89018,83.3258,483.885,30007100.0,30007249.0,30007025.0,226.875,58080.0,
9,3,0,success,36.27034115791321,16k,1,Put,25.3867,1624.75,615.479,25.3867,25.3867,25.3867,0.0,1624.75,30000900.0,30000928.0,30000928.0,761.625,48744.0,
10,3,1,success,35.610164403915405,16k,1,Put,24.3379,1557.63,642.003,24.3379,24.3379,24.3379,0.0,1557.63,30002100.0,30002079.0,30002079.0,730.188,46732.0,
11,3,2,success,36.252949476242065,16k,1,Put,25.048,1603.07,623.803,25.048,25.048,25.048,0.0,1603.07,30002400.0,30002438.0,30002438.0,751.5,48096.0,
12,4,0,success,35.633901596069336,16k,2,Put,28.3066,1811.62,1103.98,14.1533,14.1533,14.1533,32.0,905.812,30001800.0,30001829.0,30001765.0,849.25,54352.0,
13,4,1,success,36.254353046417236,16k,2,Put,28.8312,1845.2,1083.9,14.4156,14.4156,14.4156,47.0,922.598,30000100.0,30000106.0,30000012.0,864.938,55356.0,
14,4,2,failed,,16k,2,Put,,,,,,,,,,,,,,Pipeline startup failed at package 'cte_bench_timed': Benchmark exited with non-zero code(s): {'localhost': 139}
15,5,0,failed,,16k,4,Put,,,,,,,,,,,,,,Pipeline startup failed at package 'cte_bench_timed': Benchmark exited with non-zero code(s): {'localhost': 139}
16,5,1,failed,,16k,4,Put,,,,,,,,,,,,,,Pipeline startup failed at package 'cte_bench_timed': Benchmark exited with non-zero code(s): {'localhost': 139}
17,5,2,success,34.59141492843628,16k,4,Put,30.9978,1983.86,2016.27,7.74945,7.74943,7.74947,67.8583,495.965,30000100.0,30000180.0,30000026.0,929.938,59516.0,
18,6,0,success,36.25728988647461,64k,1,Put,93.6232,1497.97,667.57,93.6232,93.6232,93.6232,0.0,1497.97,30000600.0,30000586.0,30000586.0,2808.75,44940.0,
19,6,1,success,35.59629797935486,64k,1,Put,92.8538,1485.66,673.101,92.8538,92.8538,92.8538,0.0,1485.66,30001400.0,30001449.0,30001449.0,2785.75,44572.0,
20,6,2,success,36.2631733417511,64k,1,Put,94.1235,1505.98,664.021,94.1235,94.1235,94.1235,0.0,1505.98,30000500.0,30000482.0,30000482.0,2823.75,45180.0,
21,7,0,failed,,64k,2,Put,,,,,,,,,,,,,,Pipeline startup failed at package 'cte_bench_timed': Benchmark exited with non-zero code(s): {'localhost': 134}
22,7,1,success,34.59673094749451,64k,2,Put,108.045,1728.71,1156.93,54.0223,54.022,54.0226,166.5,864.356,30001500.0,30001679.0,30001346.0,3241.5,51864.0,
