run_idx,combination_idx,repeat_idx,status,runtime,cte_bench_timed.io_size,cte_bench_timed.num_threads,cte_bench_timed.test_case,cte_bench_timed.get.agg_bw_mbps,cte_bench_timed.get.agg_ops_per_sec,cte_bench_timed.get.avg_latency_per_op_us,cte_bench_timed.get.bw_per_thread_avg_mbps,cte_bench_timed.get.bw_per_thread_max_mbps,cte_bench_timed.get.bw_per_thread_min_mbps,cte_bench_timed.get.latency_stddev_us,cte_bench_timed.get.ops_per_thread_avg_per_sec,cte_bench_timed.get.time_avg_us,cte_bench_timed.get.time_max_us,cte_bench_timed.get.time_min_us,cte_bench_timed.get.total_data_mb,cte_bench_timed.get.total_ops,cte_bench_timed.put.agg_bw_mbps,cte_bench_timed.put.agg_ops_per_sec,cte_bench_timed.put.avg_latency_per_op_us,cte_bench_timed.put.bw_per_thread_avg_mbps,cte_bench_timed.put.bw_per_thread_max_mbps,cte_bench_timed.put.bw_per_thread_min_mbps,cte_bench_timed.put.latency_stddev_us,cte_bench_timed.put.ops_per_thread_avg_per_sec,cte_bench_timed.put.time_avg_us,cte_bench_timed.put.time_max_us,cte_bench_timed.put.time_min_us,cte_bench_timed.put.total_data_mb,cte_bench_timed.put.total_ops,error
0,0,0,success,37.363162994384766,4k,1,Put,,,,,,,,,,,,,,6.38428,1634.38,611.854,6.38428,6.38428,6.38428,0.0,1634.38,30000400.0,30000448.0,30000448.0,191.531,49032.0,
1,0,1,success,35.620311975479126,4k,1,Put,,,,,,,,,,,,,,6.22918,1594.67,627.089,6.22918,6.22918,6.22918,0.0,1594.67,30002400.0,30002423.0,30002423.0,186.891,47844.0,
2,0,2,success,36.24177312850952,4k,1,Put,,,,,,,,,,,,,,6.45587,1652.7,605.069,6.45587,6.45587,6.45587,0.0,1652.7,30001800.0,30001766.0,30001766.0,193.688,49584.0,
3,1,0,failed,,4k,2,Put,,,,,,,,,,,,,,,,,,,,,,,,,,,Pipeline startup failed at package 'cte_bench_timed': Benchmark exited with non-zero code(s): {'localhost': 139}
4,1,1,success,34.59547758102417,4k,2,Put,,,,,,,,,,,,,,7.13439,1826.4,1095.05,3.56719,3.56719,3.5672,51.5,913.202,30004300.0,30004370.0,30004267.0,214.062,54800.0,
5,1,2,success,36.25491189956665,4k,2,Put,,,,,,,,,,,,,,7.12502,1824.01,1096.49,3.56251,3.5625,3.56252,49.0,912.003,30004300.0,30004346.0,30004248.0,213.781,54728.0,
6,2,0,success,35.62387561798096,4k,4,Put,,,,,,,,,,,,,,7.61303,1948.94,2052.4,1.90326,1.90325,1.90327,90.3088,487.234,30006100.0,30006234.0,30005994.0,228.438,58480.0,
7,2,1,success,36.25147366523743,4k,4,Put,,,,,,,,,,,,,,7.66702,1962.76,2037.95,1.91675,1.91675,1.91676,109.896,490.689,30006800.0,30006897.0,30006626.0,230.062,58896.0,
8,2,2,success,35.592286825180054,4k,4,Put,,,,,,,,,,,,,,7.91432,2026.07,1974.27,1.97858,1.97858,1.97859,69.2184,506.517,30001000.0,30001067.0,30000875.0,237.438,60784.0,
9,3,0,success,36.26014184951782,16k,1,Put,,,,,,,,,,,,,,24.8859,1592.69,627.867,24.8859,24.8859,24.8859,0.0,1592.69,30002000.0,30001981.0,30001981.0,746.625,47784.0,
10,3,1,success,35.617812633514404,16k,1,Put,,,,,,,,,,,,,,24.375,1560.0,641.026,24.375,24.375,24.375,0.0,1560.0,30002600.0,30002569.0,30002569.0,731.312,46804.0,
11,3,2,success,36.24987077713013,16k,1,Put,,,,,,,,,,,,,,25.0508,1603.25,623.732,25.0508,25.0508,25.0508,0.0,1603.25,30001500.0,30001486.0,30001486.0,751.562,48100.0,
12,4,0,success,35.622323751449585,16k,2,Put,,,,,,,,,,,,,,28.3026,1811.37,1104.14,14.1513,14.1513,14.1513,53.0,905.684,30003900.0,30003909.0,30003803.0,849.188,54348.0,
13,4,1,success,36.230762004852295,16k,2,Put,,,,,,,,,,,,,,29.5089,1888.57,1059.0,14.7545,14.7545,14.7545,18.0,944.286,30001500.0,30001523.0,30001487.0,885.312,56660.0,
14,4,2,failed,,16k,2,Put,,,,,,,,,,,,,,,,,,,,,,,,,,,Pipeline startup failed at package 'cte_bench_timed': Benchmark exited with non-zero code(s): {'localhost': 139}
15,5,0,success,34.57938265800476,16k,4,Put,,,,,,,,,,,,,,30.6869,1963.96,2036.7,7.67173,7.6717,7.67175,72.9259,490.991,30004700.0,30004746.0,30004546.0,920.75,58928.0,
16,5,1,failed,,16k,4,Put,,,,,,,,,,,,,,,,,,,,,,,,,,,Pipeline startup failed at package 'cte_bench_timed': Benchmark exited with non-zero code(s): {'localhost': 134}
17,5,2,success,34.56927752494812,16k,4,Put,,,,,,,,,,,,,,30.2907,1938.61,2063.34,7.57268,7.57265,7.57271,99.2607,484.652,30005100.0,30005202.0,30004931.0,908.875,58168.0,
18,6,0,success,35.61960697174072,64k,1,Put,,,,,,,,,,,,,,91.6829,1466.93,681.697,91.6829,91.6829,91.6829,0.0,1466.93,30002900.0,30002863.0,30002863.0,2750.75,44012.0,
19,6,1,success,36.27194690704346,64k,1,Put,,,,,,,,,,,,,,93.0883,1489.41,671.406,93.0883,93.0883,93.0883,0.0,1489.41,30001100.0,30001099.0,30001099.0,2792.75,44684.0,
20,6,2,success,35.615078926086426,64k,1,Put,,,,,,,,,,,,,,91.9646,1471.43,679.61,91.9646,91.9646,91.9646,0.0,1471.43,30000700.0,30000690.0,30000690.0,2759.0,44144.0,
21,7,0,failed,,64k,2,Put,,,,,,,,,,,,,,,,,,,,,,,,,,,Pipeline startup failed at package 'cte_bench_timed': Benchmark exited with non-zero code(s): {'localhost': 139}
22,7,1,success,34.60938048362732,64k,2,Put,,,,,,,,,,,,,,108.395,1734.32,1153.19,54.1974,54.1972,54.1977,137.0,867.159,30003700.0,30003865.0,30003591.0,3252.25,52036.0,
23,7,2,success,35.609660625457764,64k,2,Put,,,,,,,,,,,,,,109.113,1745.81,1145.6,54.5567,54.5563,54.5571,212.0,872.907,30003200.0,30003405.0,30002981.0,3273.75,52380.0,
24,8,0,success,36.25296592712402,64k,4,Put,,,,,,,,,,,,,,120.92,1934.72,2067.48,30.23,30.2295,30.2303,346.435,483.681,30001200.0,30001776.0,30000915.0,3627.75,58044.0,
25,8,1,success,35.61115789413452,64k,4,Put,,,,,,,,,,,,,,120.146,1922.34,2080.79,30.0366,30.0364,30.0368,144.079,480.586,30003000.0,30003139.0,30002777.0,3604.75,57676.0,
26,8,2,success,36.242305278778076,64k,4,Put,,,,,,,,,,,,,,121.99,1951.83,2049.36,30.4974,30.4968,30.4978,416.024,487.958,30004600.0,30005243.0,30004193.0,3660.25,58564.0,
27,9,0,success,35.611106634140015,256k,1,Put,,,,,,,,,,,,,,191.336,765.342,1306.6,191.336,191.336,191.336,0.0,765.342,30004900.0,30004876.0,30004876.0,5741.0,22964.0,
28,9,1,success,36.225568771362305,256k,1,Put,,,,,,,,,,,,,,248.243,992.974,1007.08,248.243,248.243,248.243,0.0,992.974,30002800.0,30002812.0,30002812.0,7448.0,29792.0,
